FL, L, R, FR
21, 32, 32, 27
42, 142, 73, 35
46, 269, 153, 37
48, 343, 210, 39
53, 381, 244, 40
55, 400, 264, 40
57, 411, 274, 44
58, 416, 280, 42
62, 417, 280, 44
58, 419, 284, 44
60, 420, 284, 45
61, 420, 286, 45
61, 419, 284, 44
61, 419, 285, 46
61, 419, 285, 44
62, 420, 286, 46
61, 421, 286, 45
62, 421, 286, 45
62, 421, 285, 45
61, 421, 288, 45
59, 420, 285, 46
61, 421, 286, 45
62, 420, 286, 46
62, 420, 286, 45
61, 421, 286, 46
61, 421, 282, 46
62, 421, 288, 45
62, 420, 285, 47
62, 421, 288, 45
62, 421, 286, 47
62, 421, 286, 45
62, 421, 287, 46
65, 420, 287, 46
62, 421, 286, 45
62, 421, 288, 48
64, 420, 288, 45
59, 422, 288, 47
64, 421, 289, 46
64, 421, 286, 47
62, 422, 286, 46
62, 421, 288, 46
64, 422, 286, 48
64, 422, 286, 45
62, 422, 288, 48
60, 422, 288, 46
62, 422, 288, 46
61, 423, 287, 46
63, 423, 290, 46
62, 423, 286, 47
62, 424, 289, 46
64, 423, 288, 48
59, 423, 288, 46
62, 424, 289, 47
59, 423, 288, 47
62, 423, 288, 45
63, 424, 289, 48
63, 423, 288, 46
62, 423, 289, 44
64, 423, 286, 46
64, 423, 289, 47
62, 424, 289, 46
64, 424, 290, 48
64, 423, 290, 43
64, 423, 290, 48
62, 423, 290, 46
64, 424, 290, 47
62, 424, 289, 47
62, 424, 289, 46
64, 423, 289, 49
62, 424, 290, 47
64, 424, 290, 48
64, 424, 290, 47
64, 424, 289, 48
64, 423, 288, 48
64, 424, 290, 46
64, 424, 288, 48
62, 423, 290, 49
64, 424, 289, 48
64, 423, 286, 46
64, 421, 288, 48
64, 423, 290, 48
62, 423, 290, 46
62, 423, 288, 48
62, 423, 289, 46
62, 423, 288, 47
62, 423, 286, 46
63, 422, 288, 46
62, 422, 286, 46
62, 421, 285, 46
62, 422, 288, 48
62, 422, 288, 46
62, 423, 284, 48
62, 422, 288, 46
62, 422, 290, 47
62, 422, 289, 47
59, 422, 288, 44
62, 422, 285, 47
62, 421, 288, 45
62, 421, 286, 48
64, 423, 288, 45
63, 422, 289, 46
62, 422, 286, 46
64, 422, 287, 46
62, 422, 288, 46
64, 422, 285, 46
62, 423, 289, 48
63, 424, 288, 45
63, 422, 286, 47
62, 422, 286, 46
63, 422, 287, 46
59, 422, 288, 47
63, 422, 288, 45
62, 424, 284, 48
63, 423, 286, 46
64, 423, 290, 47
64, 423, 288, 46
63, 423, 288, 47
63, 422, 284, 46
64, 423, 289, 46
62, 423, 288, 46
64, 423, 288, 48
60, 423, 288, 45
64, 424, 290, 48
62, 422, 287, 47
64, 423, 286, 47
64, 422, 286, 47
64, 423, 288, 48
64, 424, 288, 48
