FL, L, R, FR
80, 425, 292, 69
75, 308, 259, 52
60, 178, 153, 46
54, 118, 104, 41
49, 89, 80, 39
48, 72, 65, 38
45, 61, 56, 36
44, 55, 50, 37
42, 50, 45, 33
43, 46, 42, 35
41, 44, 40, 33
41, 43, 39, 33
41, 42, 37, 33
38, 40, 37, 33
40, 40, 36, 33
40, 39, 36, 32
40, 38, 34, 33
40, 38, 35, 32
40, 38, 35, 34
51, 46, 37, 42
48, 48, 44, 39
46, 44, 40, 38
44, 42, 38, 34
44, 41, 37, 35
41, 39, 35, 34
43, 40, 35, 34
42, 40, 36, 36
42, 41, 36, 34
44, 41, 37, 37
44, 42, 38, 35
44, 42, 38, 37
45, 41, 37, 35
42, 40, 38, 36
43, 40, 36, 36
42, 40, 36, 34
41, 39, 36, 36
42, 40, 36, 34
43, 41, 37, 36
43, 40, 37, 35
42, 40, 37, 36
42, 40, 37, 35
43, 40, 37, 34
44, 40, 36, 36
43, 40, 37, 34
43, 40, 36, 36
41, 40, 36, 34
43, 40, 37, 35
42, 41, 36, 35
44, 40, 37, 35
42, 41, 36, 36
43, 40, 37, 35
41, 40, 37, 36
43, 40, 36, 34
42, 41, 36, 35
43, 40, 33, 35
42, 40, 37, 34
43, 40, 36, 33
43, 40, 37, 32
42, 40, 37, 37
42, 40, 37, 35
43, 41, 37, 36
42, 40, 37, 36
43, 42, 38, 35
43, 40, 37, 35
43, 40, 38, 34
42, 40, 37, 36
43, 40, 37, 35
42, 41, 37, 36
44, 41, 38, 38
42, 41, 38, 35
43, 41, 37, 37
43, 41, 38, 35
44, 41, 38, 36
42, 40, 38, 36
44, 40, 38, 36
42, 40, 37, 35
43, 41, 38, 35
42, 41, 38, 36
43, 41, 38, 36
41, 41, 37, 36
44, 41, 38, 35
43, 41, 37, 36
43, 41, 37, 36
42, 41, 38, 35
44, 41, 37, 36
42, 41, 38, 35
43, 41, 37, 36
42, 41, 38, 36
43, 41, 38, 36
42, 40, 37, 37
44, 41, 38, 36
42, 41, 38, 36
43, 41, 38, 35
42, 41, 38, 37
44, 41, 37, 36
42, 41, 38, 36
43, 41, 37, 34
43, 40, 35, 34
43, 40, 35, 34
40, 40, 37, 36
43, 41, 37, 35
41, 40, 37, 36
43, 40, 37, 34
42, 40, 37, 36
43, 40, 37, 34
42, 40, 37, 35
42, 40, 36, 35
42, 39, 38, 34
42, 40, 36, 36
42, 40, 36, 34
43, 40, 37, 36
42, 40, 37, 35
43, 40, 36, 35
43, 40, 37, 36
42, 40, 37, 34
42, 40, 36, 36
43, 40, 37, 33
42, 40, 37, 36
43, 39, 37, 34
41, 40, 36, 36
43, 39, 36, 35
41, 40, 37, 34
42, 40, 37, 36
42, 39, 37, 34
43, 40, 36, 36
42, 38, 37, 34
43, 40, 36, 36
41, 40, 36, 35

