Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
0 ,14 ,318 ,177 ,5 ,0 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.060976 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-1.109756 ,863.146484
1 ,14 ,317 ,178 ,6 ,0 ,0.000000 ,0.000000 ,0.000000 ,-7.000000 ,0.000000 ,0.304878 ,0.000000 ,0.000000 ,0.000305 ,0.000000 ,0.000000 ,-1.109451 ,863.959961
2 ,12 ,315 ,175 ,5 ,0 ,0.000000 ,0.000000 ,0.000000 ,-14.000000 ,0.000000 ,-0.000000 ,0.000000 ,0.000000 ,0.000305 ,0.000000 ,0.000000 ,-1.109451 ,864.438477
3 ,12 ,313 ,175 ,5 ,0 ,0.000000 ,0.000000 ,0.000000 ,-21.000000 ,0.000000 ,-0.304878 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-1.109756 ,865.060547
4 ,12 ,313 ,175 ,2 ,0 ,0.000000 ,0.000000 ,0.000000 ,-28.000000 ,0.000000 ,-0.304878 ,0.000000 ,0.000000 ,-0.000305 ,0.000000 ,0.000000 ,-1.110061 ,866.065430
5 ,17 ,319 ,177 ,9 ,0 ,0.000000 ,0.000000 ,0.000000 ,-35.000000 ,0.000000 ,-0.060976 ,0.000000 ,0.000000 ,-0.000366 ,0.000000 ,0.000000 ,-1.110122 ,867.070312
6 ,14 ,319 ,176 ,10 ,0 ,-16.205412 ,16.205412 ,0.000000 ,-42.000000 ,-29.015678 ,0.304878 ,0.000000 ,-0.029016 ,-0.000061 ,0.000000 ,0.000000 ,-1.109817 ,867.835938
7 ,13 ,316 ,176 ,4 ,0 ,-16.205412 ,0.000000 ,-8.102706 ,-49.000000 ,-14.507839 ,0.060976 ,0.000000 ,-0.043524 ,0.000000 ,0.000006 ,-0.008103 ,-1.109756 ,868.697266
8 ,12 ,316 ,176 ,3 ,0 ,0.000000 ,32.410824 ,16.205412 ,-56.000000 ,-29.015678 ,-0.243902 ,0.000000 ,-0.072539 ,-0.000244 ,-0.000014 ,0.008103 ,-1.110000 ,869.654297
9 ,13 ,315 ,175 ,4 ,0 ,-32.410824 ,16.205412 ,-8.102706 ,-63.000000 ,-43.523518 ,-0.365854 ,0.000000 ,-0.116063 ,-0.000610 ,0.000002 ,0.000000 ,-1.110366 ,870.850586
10 ,12 ,317 ,176 ,5 ,0 ,-48.616234 ,32.410824 ,-8.102706 ,-70.000000 ,-72.539192 ,-0.365854 ,0.000000 ,-0.188602 ,-0.000976 ,0.000029 ,-0.008103 ,-1.110732 ,872.381836
11 ,13 ,319 ,176 ,5 ,0 ,-48.616234 ,48.616234 ,0.000000 ,-77.000000 ,-87.047035 ,-0.182927 ,0.000000 ,-0.275649 ,-0.001159 ,0.000029 ,-0.008103 ,-1.110914 ,873.099609
12 ,13 ,317 ,176 ,3 ,0 ,-32.410824 ,81.027054 ,24.308117 ,-84.000000 ,-101.554871 ,-0.243902 ,0.000000 ,-0.377204 ,-0.001402 ,-0.000131 ,0.016205 ,-1.111158 ,873.960938
