Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
0 ,469 ,430 ,248 ,354 ,0 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.060976 ,0.000000 ,0.000000 ,2.259933 ,0.000000 ,0.000000 ,-0.080793 ,0.000000
1 ,469 ,435 ,247 ,357 ,10 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.060976 ,0.000000 ,0.000000 ,2.259994 ,0.000000 ,0.000000 ,-0.080732 ,0.191406
2 ,471 ,436 ,247 ,359 ,20 ,15.679475 ,0.000000 ,7.839737 ,0.000000 ,14.036996 ,0.243902 ,0.000000 ,0.014037 ,2.260237 ,0.000002 ,0.007840 ,-0.080488 ,0.047852
3 ,471 ,436 ,247 ,359 ,30 ,0.000000 ,15.679475 ,7.839737 ,0.000000 ,-14.036996 ,0.426829 ,0.000000 ,0.000000 ,2.260664 ,0.000002 ,0.015679 ,-0.080061 ,-0.095703
4 ,470 ,431 ,248 ,354 ,40 ,15.679475 ,31.358950 ,23.519213 ,0.000000 ,-14.036996 ,0.060976 ,0.000000 ,-0.014037 ,2.260725 ,-0.000004 ,0.039199 ,-0.080000 ,0.287109
5 ,469 ,434 ,247 ,356 ,50 ,47.038425 ,31.358950 ,39.198689 ,0.000000 ,14.036996 ,-0.243902 ,0.000000 ,-0.000000 ,2.260481 ,-0.000004 ,0.078397 ,-0.080244 ,0.334961
6 ,469 ,433 ,247 ,355 ,60 ,62.717899 ,31.358950 ,47.038425 ,0.000000 ,28.073992 ,-0.304878 ,0.000000 ,0.028074 ,2.260176 ,0.000019 ,0.125436 ,-0.080549 ,0.095703
7 ,470 ,433 ,246 ,356 ,70 ,31.358950 ,62.717899 ,47.038425 ,0.000000 ,-28.073992 ,-0.792683 ,0.000000 ,-0.000000 ,2.259384 ,0.000019 ,0.172474 ,-0.081341 ,0.287109
8 ,470 ,433 ,246 ,356 ,80 ,47.038425 ,62.717899 ,54.878162 ,0.000000 ,-14.036996 ,-1.158537 ,0.000000 ,-0.014037 ,2.258225 ,0.000006 ,0.227352 ,-0.082500 ,-1.004883
9 ,469 ,431 ,247 ,353 ,90 ,94.076851 ,62.717899 ,78.397377 ,0.000000 ,28.073992 ,-1.585366 ,0.000000 ,0.014037 ,2.256640 ,0.000025 ,0.305750 ,-0.084085 ,-3.062500
