Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
0 ,6 ,440 ,141 ,4 ,0 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.060976 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-0.219512 ,786.488281
1 ,7 ,440 ,142 ,4 ,0 ,0.000000 ,0.000000 ,0.000000 ,-7.000000 ,0.000000 ,-0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-0.219512 ,787.158203
2 ,6 ,438 ,141 ,5 ,0 ,0.000000 ,0.000000 ,0.000000 ,-14.000000 ,0.000000 ,-0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-0.219512 ,788.019531
3 ,3 ,437 ,140 ,2 ,0 ,0.000000 ,0.000000 ,0.000000 ,-21.000000 ,0.000000 ,-0.182927 ,0.000000 ,0.000000 ,-0.000183 ,0.000000 ,0.000000 ,-0.219695 ,788.785156
4 ,9 ,445 ,146 ,8 ,0 ,-16.172541 ,0.000000 ,-8.086270 ,-28.000000 ,-14.478411 ,0.121951 ,0.000000 ,-0.014478 ,-0.000061 ,0.000002 ,-0.008086 ,-0.219573 ,789.646484
5 ,10 ,446 ,145 ,7 ,0 ,0.000000 ,0.000000 ,0.000000 ,-35.000000 ,0.000000 ,0.121951 ,0.000000 ,-0.014478 ,0.000061 ,0.000002 ,-0.008086 ,-0.219451 ,790.603516
6 ,7 ,439 ,141 ,4 ,0 ,0.000000 ,16.172541 ,8.086270 ,-42.000000 ,-14.478411 ,-0.182927 ,0.000000 ,-0.028957 ,-0.000122 ,-0.000002 ,-0.000000 ,-0.219634 ,791.177734
7 ,6 ,439 ,142 ,3 ,0 ,0.000000 ,16.172541 ,8.086270 ,-49.000000 ,-14.478411 ,-0.243902 ,0.000000 ,-0.043435 ,-0.000366 ,-0.000008 ,0.008086 ,-0.219878 ,790.986328
8 ,5 ,439 ,142 ,5 ,0 ,-32.345081 ,16.172541 ,-8.086270 ,-56.000000 ,-43.435234 ,-0.426829 ,0.000000 ,-0.086870 ,-0.000793 ,0.000004 ,0.000000 ,-0.220305 ,790.699219
9 ,7 ,441 ,142 ,5 ,0 ,-32.345081 ,32.345081 ,0.000000 ,-63.000000 ,-57.913643 ,-0.182927 ,0.000000 ,-0.144784 ,-0.000976 ,0.000004 ,0.000000 ,-0.220488 ,791.129883
10 ,6 ,441 ,142 ,7 ,0 ,-48.517620 ,32.345081 ,-8.086270 ,-70.000000 ,-72.392059 ,0.060976 ,0.000000 ,-0.217176 ,-0.000915 ,0.000035 ,-0.008086 ,-0.220427 ,792.039062
11 ,6 ,441 ,142 ,5 ,0 ,-32.345081 ,32.345081 ,0.000000 ,-77.000000 ,-57.913643 ,0.121951 ,0.000000 ,-0.275090 ,-0.000793 ,0.000035 ,-0.008086 ,-0.220305 ,792.661133
12 ,5 ,437 ,140 ,4 ,0 ,-64.690163 ,80.862701 ,8.086270 ,-84.000000 ,-130.305695 ,-0.182927 ,0.000000 ,-0.405396 ,-0.000976 ,-0.000022 ,-0.000000 ,-0.220488 ,794.000977
