Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
0 ,285 ,415 ,29 ,193 ,1200 ,1128.922241 ,1144.601685 ,1136.761963 ,0.000000 ,-14.036996 ,0.243902 ,0.000000 ,0.028074 ,0.000000 ,0.000000 ,0.000000 ,-1.003354 ,-3.828125
1 ,288 ,406 ,28 ,190 ,1200 ,1128.922241 ,1144.601685 ,1136.761963 ,25.026571 ,-14.036996 ,1.402439 ,0.000000 ,0.014037 ,0.001402 ,0.000278 ,1.136762 ,-1.001951 ,1.244141
2 ,288 ,406 ,28 ,190 ,1200 ,1160.281128 ,1050.524780 ,1105.402954 ,50.053143 ,98.258972 ,3.902439 ,0.000000 ,0.112296 ,0.005305 ,0.002445 ,2.242163 ,-0.998049 ,9.426758
3 ,293 ,407 ,29 ,195 ,1200 ,1270.037476 ,846.691650 ,1058.364624 ,75.079712 ,378.998901 ,6.036585 ,0.000000 ,0.491295 ,0.011341 ,0.011520 ,3.300488 ,-0.992012 ,13.111328
4 ,299 ,400 ,29 ,196 ,1200 ,1332.755371 ,674.217407 ,1003.486389 ,100.106285 ,589.553833 ,15.121951 ,0.000000 ,1.080849 ,0.026463 ,0.030449 ,4.303796 ,-0.976890 ,21.341797
5 ,301 ,398 ,25 ,203 ,1200 ,1395.473267 ,548.781616 ,972.127441 ,125.132858 ,757.997803 ,37.987804 ,0.000000 ,1.838847 ,0.064451 ,0.061643 ,5.275424 ,-0.938902 ,30.385742
6 ,320 ,388 ,30 ,199 ,1200 ,1442.511719 ,486.063721 ,964.287720 ,150.159424 ,856.256775 ,92.073174 ,0.000000 ,2.695103 ,0.156524 ,0.106985 ,6.238645 ,-0.846829 ,39.525391
7 ,320 ,388 ,30 ,199 ,1200 ,1395.473267 ,548.781616 ,972.127441 ,175.185989 ,757.997803 ,166.341461 ,0.000000 ,3.453101 ,0.322866 ,0.165538 ,7.209007 ,-0.680488 ,115.513672
8 ,336 ,377 ,31 ,195 ,1200 ,1097.563232 ,783.973755 ,940.768494 ,200.212555 ,280.739929 ,237.926834 ,0.000000 ,3.733841 ,0.560793 ,0.226802 ,8.147779 ,-0.442561 ,201.072266
9 ,354 ,367 ,30 ,194 ,1200 ,878.050598 ,1003.486389 ,940.768494 ,225.239120 ,-112.295967 ,297.195129 ,0.000000 ,3.621545 ,0.857988 ,0.286227 ,9.086669 ,-0.145366 ,214.901367
10 ,374 ,356 ,30 ,188 ,1200 ,689.896912 ,1160.281128 ,925.089050 ,250.265686 ,-421.109894 ,326.341461 ,0.000000 ,3.200435 ,1.184329 ,0.337873 ,10.010315 ,0.180976 ,186.668945
11 ,394 ,345 ,29 ,185 ,1200 ,548.781616 ,1301.396484 ,925.089050 ,275.292267 ,-673.775818 ,317.500000 ,0.000000 ,2.526659 ,1.501829 ,0.378655 ,10.934505 ,0.498476 ,107.235352
12 ,394 ,345 ,29 ,185 ,1200 ,548.781616 ,1222.999023 ,885.890320 ,300.318848 ,-603.590820 ,280.182922 ,0.000000 ,1.923069 ,1.782012 ,0.408384 ,11.819896 ,0.778659 ,44.836914
13 ,411 ,340 ,28 ,188 ,1200 ,721.255859 ,940.768494 ,831.012207 ,325.345428 ,-196.517944 ,210.975616 ,0.000000 ,1.726551 ,1.992988 ,0.433422 ,12.650531 ,0.989634 ,40.195312
14 ,421 ,347 ,29 ,202 ,1200 ,831.012207 ,831.012207 ,831.012207 ,350.372009 ,0.000000 ,152.439026 ,0.000000 ,1.726551 ,2.145427 ,0.458459 ,13.481166 ,1.142073 ,17.130859
15 ,429 ,336 ,29 ,196 ,1200 ,705.576355 ,956.447998 ,831.012207 ,375.398590 ,-224.591934 ,110.060982 ,0.000000 ,1.501959 ,2.255488 ,0.480241 ,14.311893 ,1.252134 ,-49.000000
16 ,429 ,336 ,29 ,196 ,1200 ,658.537964 ,940.768494 ,799.653198 ,400.425171 ,-252.665924 ,96.402443 ,0.000000 ,1.249293 ,2.351890 ,0.497676 ,15.111356 ,1.348537 ,-72.734375
17 ,446 ,332 ,32 ,195 ,1200 ,799.653198 ,721.255859 ,760.454529 ,425.451752 ,70.184982 ,98.597565 ,0.000000 ,1.319478 ,2.450488 ,0.515187 ,15.871609 ,1.447134 ,-25.744141
18 ,457 ,329 ,29 ,193 ,1200 ,956.447998 ,580.140564 ,768.294250 ,450.478333 ,336.887909 ,99.268295 ,0.000000 ,1.656366 ,2.549756 ,0.537394 ,16.639582 ,1.546403 ,1.387695
19 ,467 ,322 ,31 ,197 ,1200 ,1066.204346 ,360.627930 ,713.416138 ,475.504913 ,631.664856 ,96.097565 ,0.000000 ,2.288030 ,2.645854 ,0.565876 ,17.352428 ,1.642500 ,-7.273438
20 ,476 ,320 ,32 ,201 ,1200 ,1222.999023 ,156.794754 ,689.896912 ,500.531494 ,954.515747 ,91.646347 ,0.000000 ,3.242546 ,2.737500 ,0.604899 ,18.041222 ,1.734146 ,-0.047852
21 ,476 ,320 ,32 ,201 ,1200 ,1332.755371 ,-15.679475 ,658.537964 ,525.558044 ,1207.181641 ,95.304878 ,0.000000 ,4.449728 ,2.832805 ,0.655991 ,18.697775 ,1.829451 ,31.677734
22 ,488 ,318 ,31 ,205 ,1200 ,1426.832275 ,-188.153702 ,619.339294 ,550.584595 ,1445.810547 ,93.536591 ,0.000000 ,5.895539 ,2.926342 ,0.719606 ,19.313839 ,1.922988 ,54.359375
23 ,497 ,315 ,32 ,207 ,1200 ,1520.909058 ,-344.948456 ,587.980286 ,575.611145 ,1670.402588 ,92.134148 ,0.000000 ,7.565941 ,3.018476 ,0.797024 ,19.896700 ,2.015122 ,42.348633
24 ,507 ,310 ,30 ,209 ,1200 ,1583.626953 ,-517.422668 ,533.102173 ,600.637695 ,1880.957520 ,105.487808 ,0.000000 ,9.446898 ,3.123964 ,0.884524 ,20.422571 ,2.120610 ,50.100586
25 ,507 ,310 ,30 ,209 ,1200 ,1630.665405 ,-642.858459 ,493.903473 ,625.664246 ,2035.364502 ,120.000000 ,0.000000 ,11.482264 ,3.243964 ,0.982843 ,20.906591 ,2.240610 ,80.582031
26 ,526 ,313 ,37 ,218 ,1200 ,1630.665405 ,-799.653198 ,415.506104 ,650.690796 ,2175.734375 ,145.243912 ,0.000000 ,13.657998 ,3.389208 ,1.080954 ,21.310347 ,2.385854 ,100.105469
27 ,525 ,306 ,32 ,217 ,1200 ,1630.665405 ,-909.409546 ,360.627930 ,675.717346 ,2273.993408 ,180.304886 ,0.000000 ,15.931992 ,3.569512 ,1.179945 ,21.657124 ,2.566159 ,150.349609
28 ,531 ,299 ,31 ,218 ,1200 ,1614.985962 ,-940.768494 ,337.108704 ,700.743896 ,2288.030273 ,221.829269 ,0.000000 ,18.220022 ,3.791342 ,1.285348 ,21.977329 ,2.787988 ,212.556641
29 ,534 ,292 ,32 ,220 ,1200 ,1662.024414 ,-721.255859 ,470.384247 ,725.770447 ,2133.623535 ,259.329285 ,0.000000 ,20.353645 ,4.050671 ,1.448954 ,22.418344 ,3.047317 ,307.111328
30 ,534 ,292 ,32 ,220 ,1200 ,1709.062744 ,-391.986877 ,658.537964 ,750.796997 ,1880.957520 ,301.341461 ,0.000000 ,22.234604 ,4.352013 ,1.698145 ,23.027916 ,3.348659 ,437.889648
31 ,538 ,287 ,32 ,221 ,1200 ,1709.062744 ,-31.358950 ,838.851929 ,775.823547 ,1558.106567 ,363.475616 ,0.000000 ,23.792709 ,4.715488 ,2.036562 ,23.795475 ,3.712134 ,528.185547
32 ,532 ,271 ,30 ,218 ,1200 ,1583.626953 ,360.627930 ,972.127441 ,800.850098 ,1094.885742 ,442.682922 ,0.000000 ,24.887596 ,5.158171 ,2.445672 ,24.677326 ,4.154817 ,556.417969
33 ,520 ,256 ,28 ,213 ,1200 ,1317.075928 ,642.858459 ,979.967163 ,825.876648 ,603.590820 ,535.000000 ,0.000000 ,25.491186 ,5.693171 ,2.867422 ,25.561893 ,4.689817 ,549.718750
34 ,520 ,256 ,28 ,213 ,1200 ,1081.883789 ,909.409546 ,995.646667 ,850.903198 ,154.406952 ,605.121948 ,0.000000 ,25.645594 ,6.298293 ,3.298342 ,26.459459 ,5.294940 ,488.277344
35 ,504 ,248 ,37 ,214 ,1200 ,893.730103 ,1066.204346 ,979.967163 ,875.929749 ,-154.406952 ,631.280518 ,0.000000 ,25.491186 ,6.929574 ,3.720092 ,27.344027 ,5.926220 ,366.973633
36 ,471 ,246 ,29 ,219 ,1200 ,862.371155 ,1081.883789 ,972.127441 ,900.956299 ,-196.517944 ,603.963440 ,0.000000 ,25.294668 ,7.533537 ,4.135457 ,28.222950 ,6.530183 ,224.280273
37 ,455 ,242 ,30 ,215 ,1200 ,1066.204346 ,846.691650 ,956.447998 ,925.982849 ,196.517944 ,530.975647 ,0.000000 ,25.491186 ,8.064513 ,4.547085 ,29.086288 ,7.061159 ,40.721680
38 ,444 ,248 ,30 ,213 ,1200 ,1144.601685 ,689.896912 ,917.249268 ,951.009399 ,407.072876 ,460.060974 ,0.000000 ,25.898260 ,8.524573 ,4.947716 ,29.911419 ,7.521220 ,-146.186523
39 ,444 ,248 ,30 ,213 ,1200 ,1003.486389 ,815.332703 ,909.409546 ,976.035950 ,168.443954 ,422.743927 ,0.000000 ,26.066704 ,8.947318 ,5.347327 ,30.728327 ,7.943964 ,-259.020508
