Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle
0 ,24 ,562 ,229 ,11 ,1600 ,1552.268066 ,1505.229614 ,1528.748779 ,0.000000 ,42.110989 ,51.219513 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.641281
1 ,24 ,562 ,229 ,11 ,1600 ,1583.626953 ,1520.909058 ,1552.268066 ,49.315052 ,56.147984 ,51.097561 ,0.000000 ,0.056148 ,0.051098 ,0.001521 ,1.552267 ,0.692378
2 ,23 ,558 ,229 ,9 ,1600 ,1552.268066 ,1505.229614 ,1528.748779 ,98.630104 ,42.110989 ,50.914635 ,0.000000 ,0.098259 ,0.102012 ,0.004143 ,3.081014 ,0.743293
3 ,21 ,556 ,228 ,11 ,1600 ,1567.947510 ,1505.229614 ,1536.588501 ,147.945160 ,56.147984 ,50.975613 ,0.000000 ,0.154407 ,0.152988 ,0.008284 ,4.617597 ,0.794268
4 ,26 ,555 ,232 ,12 ,1600 ,1583.626953 ,1489.550171 ,1536.588501 ,197.260208 ,84.221977 ,50.304878 ,0.000000 ,0.238629 ,0.203293 ,0.014684 ,6.154172 ,0.844573
5 ,22 ,555 ,231 ,10 ,1600 ,1599.306396 ,1473.870605 ,1536.588501 ,246.575256 ,112.295967 ,49.695122 ,0.000000 ,0.350925 ,0.252988 ,0.024095 ,7.690732 ,0.894268
6 ,22 ,555 ,231 ,10 ,1600 ,1630.665405 ,1458.191162 ,1544.428345 ,295.890320 ,154.406952 ,50.121952 ,0.000000 ,0.505332 ,0.303110 ,0.037716 ,9.235101 ,0.944390
7 ,25 ,553 ,235 ,11 ,1600 ,1630.665405 ,1395.473267 ,1513.069336 ,345.205383 ,210.554947 ,49.939026 ,0.000000 ,0.715887 ,0.353049 ,0.056621 ,10.748052 ,0.994329
8 ,25 ,553 ,234 ,13 ,1600 ,1677.703857 ,1379.793823 ,1528.748779 ,394.520447 ,266.702942 ,49.756100 ,0.000000 ,0.982590 ,0.402805 ,0.082837 ,12.276576 ,1.044086
9 ,24 ,549 ,237 ,11 ,1600 ,1724.742310 ,1364.114380 ,1544.428345 ,443.835510 ,322.850922 ,53.597561 ,0.000000 ,1.305441 ,0.456402 ,0.118022 ,13.820603 ,1.097683
